platform,appid,country,currency,initial,final,discount_percent,release_date
steam,3164500,AR,USD,10.49,7.34,30,"24 Mar, 2025"
steam,1757300,AR,USD,7.99,7.99,0,"19 Sep, 2025"
steam,1142710,JP,JPY,7000.0,1750.0,75,"16 Feb, 2022"
steam,1144200,GB,GBP,44.99,22.49,50,"13 Dec, 2023"
steam,1903340,BR,BRL,199.0,179.1,10,"24 Apr, 2025"
steam,381210,DE,EUR,19.99,7.99,60,"14 Jun, 2016"
steam,2651280,FR,EUR,59.99,47.99,20,"30 Jan, 2025"
steam,3230400,CA,CAD,89.99,62.99,30,"14 Aug, 2025"
steam,1004640,FR,EUR,49.99,49.99,0,"30 Sep, 2025"
steam,3314790,TR,USD,5.79,5.21,10,"26 Sep, 2025"
steam,3527290,AR,USD,3.99,3.19,20,"16 Jun, 2025"
steam,2183900,JP,JPY,9800.0,4900.0,50,"9 Sep, 2024"
steam,1145350,GB,GBP,24.99,24.99,0,"25 Sep, 2025"
steam,2947440,GB,GBP,69.99,69.99,0,"24 Sep, 2025"
steam,1669000,FR,EUR,49.99,24.99,50,"2 May, 2023"
steam,381210,BR,BRL,69.99,27.99,60,"14 Jun, 2016"
steam,2947440,CN,CNY,391.0,391.0,0,"24 Sep, 2025"
steam,381210,TR,USD,14.99,5.99,60,"14 Jun, 2016"
steam,1757300,TR,USD,7.99,7.99,0,"19 Sep, 2025"
steam,381210,US,USD,19.99,7.99,60,"Jun 14, 2016"
steam,1151340,US,USD,39.99,9.99,75,"Apr 14, 2020"
steam,553850,AR,USD,39.99,31.99,20,"8 Feb, 2024"
steam,1285190,TR,USD,69.99,69.99,0,"11 Sep, 2025"
steam,3606480,CA,CAD,89.99,89.99,0,"13 Nov, 2025"
steam,294100,DE,EUR,31.99,25.59,20,"17 Oct, 2018"
steam,2947440,FR,EUR,79.99,79.99,0,"24 Sep, 2025"
steam,2215430,US,USD,59.99,40.19,33,"May 16, 2024"
steam,2183900,CA,CAD,79.99,39.99,50,"9 Sep, 2024"
steam,2215430,AU,AUD,94.95,63.61,33,"16 May, 2024"
steam,2807960,PL,PLN,299.9,299.9,0,"10 Oct, 2025"
steam,1984270,BR,BRL,319.9,319.9,0,"2 Oct, 2025"
steam,3527290,JP,JPY,880.0,704.0,20,"16 Jun, 2025"
steam,1675200,FR,EUR,419.0,335.2,20,"17 Jan, 2025"
steam,2807960,FR,EUR,69.99,69.99,0,"10 Oct, 2025"
steam,294100,PL,PLN,134.99,107.99,20,"17 Oct, 2018"
steam,3527290,GB,GBP,6.39,5.11,20,"16 Jun, 2025"
steam,990080,GB,GBP,49.99,9.99,80,"10 Feb, 2023"
steam,2215430,DE,EUR,59.99,40.19,33,"16 May, 2024"
steam,311210,CN,CNY,338.0,111.54,67,"5 Nov, 2015"
steam,294100,CN,CNY,128.0,102.4,20,"17 Oct, 2018"
steam,3230400,JP,JPY,9800.0,6860.0,30,"14 Aug, 2025"
steam,1030300,AR,USD,6.99,6.99,0,"4 Sep, 2025"
steam,3008130,TR,USD,44.99,44.99,0,"18 Sep, 2025"
steam,2947440,TR,USD,36.99,36.99,0,"24 Sep, 2025"
steam,1142710,AR,USD,49.99,12.49,75,"16 Feb, 2022"
steam,3472040,CA,CAD,89.99,89.99,0,"4 Sep, 2025"
steam,1903340,AR,USD,34.99,31.49,10,"24 Apr, 2025"
steam,2138330,GB,GBP,24.99,17.49,30,"25 Sep, 2023"
steam,294100,FR,EUR,31.99,25.59,20,"17 Oct, 2018"
steam,2807960,US,USD,69.99,69.99,0,"Oct 10, 2025"
steam,1285190,AR,USD,69.99,69.99,0,"11 Sep, 2025"
steam,990080,CA,CAD,79.99,15.99,80,"10 Feb, 2023"
steam,3164500,CN,CNY,76.0,53.2,30,"24 Mar, 2025"
steam,3606480,PL,PLN,349.0,349.0,0,"13 Nov, 2025"
steam,2807960,TR,USD,69.99,69.99,0,"10 Oct, 2025"
steam,1984270,US,USD,69.99,69.99,0,"Oct 2, 2025"
steam,1757300,CA,CAD,25.99,25.99,0,"19 Sep, 2025"
steam,252490,GB,GBP,34.99,17.49,50,"8 Feb, 2018"
steam,3489700,AR,USD,59.99,47.99,20,"11 Jun, 2025"
steam,553850,FR,EUR,39.99,31.99,20,"8 Feb, 2024"
steam,1326470,TR,USD,14.99,4.94,67,"22 Feb, 2024"
steam,1086940,PL,PLN,249.0,186.75,25,"3 Aug, 2023"
steam,990080,DE,EUR,59.99,11.99,80,"10 Feb, 2023"
steam,990080,CN,CNY,384.0,76.8,80,"10 Feb, 2023"
steam,1984270,JP,JPY,8910.0,8910.0,0,"2 Oct, 2025"
steam,2651280,CA,CAD,79.99,63.99,20,"30 Jan, 2025"
steam,1145350,AR,USD,14.99,14.99,0,"25 Sep, 2025"
steam,2138330,TR,USD,22.49,15.74,30,"25 Sep, 2023"
steam,252490,PL,PLN,119.99,59.99,50,"8 Feb, 2018"
steam,3405690,US,USD,69.99,69.99,0,"Sep 25, 2025"
steam,3314790,CA,CAD,12.99,11.69,10,"26 Sep, 2025"
steam,381210,GB,GBP,14.99,5.99,60,"14 Jun, 2016"
steam,1984270,TR,USD,45.99,45.99,0,"2 Oct, 2025"
steam,990080,PL,PLN,269.0,53.8,80,"10 Feb, 2023"
steam,1004640,AR,USD,39.99,39.99,0,"30 Sep, 2025"
steam,2246340,JP,JPY,8990.0,6293.0,30,"27 Feb, 2025"
steam,1984270,AU,AUD,99.95,99.95,0,"2 Oct, 2025"
steam,1757300,PL,PLN,69.0,69.0,0,"19 Sep, 2025"
steam,374320,BR,BRL,229.9,114.95,50,"11 Apr, 2016"
steam,1142710,BR,BRL,299.0,74.75,75,"16 Feb, 2022"
steam,3489700,CA,CAD,79.99,63.99,20,"11 Jun, 2025"
steam,2183900,AU,AUD,89.95,44.97,50,"9 Sep, 2024"
steam,1903340,AU,AUD,69.95,62.95,10,"24 Apr, 2025"
steam,1903340,DE,EUR,49.99,44.99,10,"24 Apr, 2025"
steam,2807960,JP,JPY,9800.0,9800.0,0,"10 Oct, 2025"
steam,294100,GB,GBP,28.49,22.79,20,"17 Oct, 2018"
steam,1903340,CN,CNY,218.0,196.2,10,"24 Apr, 2025"
steam,3489700,JP,JPY,7980.0,6384.0,20,"11 Jun, 2025"
steam,1174180,BR,BRL,299.9,74.97,75,"5 Dec, 2019"
steam,3606480,BR,BRL,349.9,349.9,0,"13 Nov, 2025"
steam,3314790,AU,AUD,14.5,13.05,10,"26 Sep, 2025"
steam,3230400,DE,EUR,69.99,48.99,30,"14 Aug, 2025"
steam,3314790,AR,USD,5.79,5.21,10,"26 Sep, 2025"
steam,1086940,CN,CNY,298.0,223.5,25,"3 Aug, 2023"
steam,275850,BR,BRL,162.0,64.8,60,"12 Aug, 2016"
steam,1145350,US,USD,29.99,29.99,0,"Sep 25, 2025"
steam,3008130,JP,JPY,8090.0,8090.0,0,"18 Sep, 2025"
steam,1086940,DE,EUR,59.99,44.99,25,"3 Aug, 2023"
steam,2947440,JP,JPY,8580.0,8580.0,0,"24 Sep, 2025"
steam,1030300,US,USD,19.99,19.99,0,"Sep 4, 2025"
steam,553850,US,USD,39.99,31.99,20,"Feb 8, 2024"
steam,1669000,BR,BRL,179.99,89.99,50,"2 May, 2023"
steam,1174180,JP,JPY,8618.0,2154.0,75,"5 Dec, 2019"
steam,1285190,FR,EUR,69.99,69.99,0,"11 Sep, 2025"
steam,1285190,GB,GBP,59.99,59.99,0,"11 Sep, 2025"
steam,1145350,JP,JPY,3400.0,3400.0,0,"25 Sep, 2025"
steam,3405690,BR,BRL,299.0,299.0,0,"25 Sep, 2025"
steam,3472040,PL,PLN,319.0,319.0,0,"4 Sep, 2025"
steam,1151340,CN,CNY,165.0,41.25,75,"14 Apr, 2020"
steam,990080,AU,AUD,89.95,17.99,80,"10 Feb, 2023"
steam,1285190,US,USD,69.99,69.99,0,"Sep 11, 2025"
steam,1903340,JP,JPY,7480.0,6732.0,10,"24 Apr, 2025"
steam,1285190,AU,AUD,109.95,109.95,0,"11 Sep, 2025"
steam,1030300,TR,USD,7.99,7.99,0,"4 Sep, 2025"
steam,1326470,DE,EUR,28.99,9.56,67,"22 Feb, 2024"
steam,3472040,AR,USD,69.99,69.99,0,"4 Sep, 2025"
steam,252490,US,USD,39.99,19.99,50,"Feb 8, 2018"
steam,3164500,JP,JPY,2300.0,1610.0,30,"24 Mar, 2025"
steam,3230400,AR,USD,69.99,48.99,30,"14 Aug, 2025"
steam,553850,GB,GBP,34.99,27.99,20,"8 Feb, 2024"
steam,1142710,AU,AUD,99.95,24.98,75,"16 Feb, 2022"
steam,1669000,PL,PLN,231.99,115.99,50,"2 May, 2023"
steam,374320,CA,CAD,79.99,39.99,50,"11 Apr, 2016"
steam,1984270,PL,PLN,299.0,299.0,0,"2 Oct, 2025"
steam,1903340,CA,CAD,64.99,58.49,10,"24 Apr, 2025"
steam,1669000,JP,JPY,6990.0,3495.0,50,"2 May, 2023"
steam,553850,CN,CNY,198.0,158.4,20,"8 Feb, 2024"
steam,1984270,CN,CNY,298.0,298.0,0,"2 Oct, 2025"
steam,3606480,JP,JPY,9800.0,9800.0,0,"13 Nov, 2025"
steam,3405340,TR,USD,5.79,4.92,15,"18 Sep, 2025"
steam,374320,GB,GBP,39.99,19.99,50,"11 Apr, 2016"
steam,2947440,AU,AUD,116.95,116.95,0,"24 Sep, 2025"
steam,2215430,CA,CAD,79.99,53.59,33,"16 May, 2024"
steam,3527290,AU,AUD,11.79,9.43,20,"16 Jun, 2025"
steam,1091500,AR,USD,44.99,15.74,65,"9 Dec, 2020"
steam,1091500,BR,BRL,199.9,69.96,65,"9 Dec, 2020"
steam,374320,US,USD,59.99,29.99,50,"Apr 11, 2016"
steam,275850,FR,EUR,58.99,23.59,60,"12 Aug, 2016"
steam,553850,BR,BRL,199.5,159.6,20,"8 Feb, 2024"
steam,1669000,AR,USD,29.99,14.99,50,"2 May, 2023"
steam,2486820,CA,CAD,93.99,93.99,0,"25 Sep, 2025"
steam,281990,AR,USD,23.99,5.99,75,"9 May, 2016"
steam,3405340,BR,BRL,32.99,28.04,15,"18 Sep, 2025"
steam,1151340,PL,PLN,169.9,42.47,75,"14 Apr, 2020"
steam,311210,US,USD,59.99,19.79,67,"Nov 5, 2015"
steam,275850,GB,GBP,49.99,19.99,60,"12 Aug, 2016"
steam,3230400,GB,GBP,59.99,41.99,30,"14 Aug, 2025"
steam,1903340,TR,USD,34.99,31.49,10,"24 Apr, 2025"
steam,3489700,US,USD,59.99,47.99,20,"Jun 11, 2025"
steam,2183900,PL,PLN,209.99,104.99,50,"9 Sep, 2024"
steam,1030300,FR,EUR,19.5,19.5,0,"4 Sep, 2025"
steam,381210,AU,AUD,28.95,11.58,60,"14 Jun, 2016"
steam,2138330,CA,CAD,39.99,27.99,30,"25 Sep, 2023"
steam,3606480,US,USD,69.99,69.99,0,"Nov 13, 2025"
steam,2183900,GB,GBP,54.99,27.49,50,"9 Sep, 2024"
steam,1030300,PL,PLN,74.99,74.99,0,"4 Sep, 2025"
steam,294100,AR,USD,17.99,14.39,20,"17 Oct, 2018"
steam,1091500,AU,AUD,89.95,31.48,65,"9 Dec, 2020"
steam,1326470,FR,EUR,28.99,9.56,67,"22 Feb, 2024"
steam,2947440,CA,CAD,93.49,93.49,0,"24 Sep, 2025"
steam,381210,CN,CNY,93.75,37.5,60,"14 Jun, 2016"
steam,1669000,CA,CAD,66.99,33.49,50,"2 May, 2023"
steam,1174180,TR,USD,59.99,14.99,75,"5 Dec, 2019"
steam,3230400,US,USD,69.99,48.99,30,"Aug 14, 2025"
steam,374320,DE,EUR,59.99,29.99,50,"11 Apr, 2016"
steam,1086940,US,USD,59.99,44.99,25,"Aug 3, 2023"
steam,1174180,CN,CNY,279.0,69.75,75,"5 Dec, 2019"
steam,1091500,US,USD,59.99,20.99,65,"Dec 9, 2020"
steam,3606480,AR,USD,69.99,69.99,0,"13 Nov, 2025"
steam,3405690,AU,AUD,109.95,109.95,0,"25 Sep, 2025"
steam,553850,TR,USD,39.99,31.99,20,"8 Feb, 2024"
steam,3405690,JP,JPY,9800.0,9800.0,0,"25 Sep, 2025"
steam,3164500,PL,PLN,91.99,64.39,30,"24 Mar, 2025"
steam,1091500,GB,GBP,49.99,17.49,65,"9 Dec, 2020"
steam,2807960,DE,EUR,69.99,69.99,0,"10 Oct, 2025"
steam,3164500,TR,USD,10.49,7.34,30,"24 Mar, 2025"
steam,275850,DE,EUR,58.99,23.59,60,"12 Aug, 2016"
steam,1675200,DE,EUR,419.0,335.2,20,"17 Jan, 2025"
steam,3405340,AU,AUD,14.5,12.32,15,"18 Sep, 2025"
steam,2215430,AR,USD,49.99,33.49,33,"16 May, 2024"
steam,374320,FR,EUR,59.99,29.99,50,"11 Apr, 2016"
steam,1145350,DE,EUR,28.99,28.99,0,"25 Sep, 2025"
steam,3405340,JP,JPY,1200.0,1020.0,15,"18 Sep, 2025"
steam,2651280,AR,USD,49.99,39.99,20,"30 Jan, 2025"
steam,3008130,AR,USD,44.99,44.99,0,"18 Sep, 2025"
steam,3405690,CN,CNY,248.0,248.0,0,"25 Sep, 2025"
steam,3230400,AU,AUD,109.95,76.96,30,"14 Aug, 2025"
steam,1086940,AR,USD,34.99,26.24,25,"3 Aug, 2023"
steam,3527290,TR,USD,3.99,3.19,20,"16 Jun, 2025"
steam,1285190,CA,CAD,89.99,89.99,0,"11 Sep, 2025"
steam,1142710,TR,USD,49.99,12.49,75,"16 Feb, 2022"
steam,1151340,DE,EUR,39.99,9.99,75,"14 Apr, 2020"
steam,311210,BR,BRL,329.9,108.86,67,"5 Nov, 2015"
steam,1004640,GB,GBP,39.99,39.99,0,"30 Sep, 2025"
steam,2215430,FR,EUR,59.99,40.19,33,"16 May, 2024"
steam,2486820,DE,EUR,69.99,69.99,0,"25 Sep, 2025"
steam,2246340,PL,PLN,299.0,209.3,30,"27 Feb, 2025"
steam,281990,US,USD,39.99,9.99,75,"May 9, 2016"
steam,252490,AR,USD,18.99,9.49,50,"8 Feb, 2018"
steam,3314790,FR,EUR,9.99,8.99,10,"26 Sep, 2025"
steam,3472040,JP,JPY,9460.0,9460.0,0,"4 Sep, 2025"
steam,3314790,GB,GBP,8.5,7.65,10,"26 Sep, 2025"
steam,2947440,US,USD,69.99,69.99,0,"Sep 24, 2025"
steam,2215430,BR,BRL,249.9,167.43,33,"16 May, 2024"
steam,2651280,CN,CNY,398.0,318.4,20,"30 Jan, 2025"
steam,3314790,JP,JPY,1200.0,1080.0,10,"26 Sep, 2025"
steam,1091500,CN,CNY,298.0,104.3,65,"9 Dec, 2020"
steam,1004640,TR,USD,39.99,39.99,0,"30 Sep, 2025"
steam,2246340,AU,AUD,104.95,73.46,30,"27 Feb, 2025"
steam,1757300,DE,EUR,19.5,19.5,0,"19 Sep, 2025"
steam,2246340,GB,GBP,59.99,41.99,30,"27 Feb, 2025"
steam,3008130,CA,CAD,79.99,79.99,0,"18 Sep, 2025"
steam,2651280,US,USD,59.99,47.99,20,"Jan 30, 2025"
steam,294100,AU,AUD,44.95,35.96,20,"17 Oct, 2018"
steam,3008130,DE,EUR,59.99,59.99,0,"18 Sep, 2025"
steam,1145350,PL,PLN,117.0,117.0,0,"25 Sep, 2025"
steam,1669000,GB,GBP,41.99,20.99,50,"2 May, 2023"
steam,1004640,CN,CNY,298.0,298.0,0,"30 Sep, 2025"
steam,1030300,CA,CAD,25.99,25.99,0,"4 Sep, 2025"
steam,3405690,TR,USD,69.99,69.99,0,"25 Sep, 2025"
steam,1145350,CA,CAD,38.99,38.99,0,"25 Sep, 2025"
steam,2183900,AR,USD,34.99,17.49,50,"9 Sep, 2024"
steam,3008130,GB,GBP,49.99,49.99,0,"18 Sep, 2025"
steam,2183900,BR,BRL,199.9,99.95,50,"9 Sep, 2024"
steam,2486820,TR,USD,69.99,69.99,0,"25 Sep, 2025"
steam,1145350,TR,USD,14.99,14.99,0,"25 Sep, 2025"
steam,281990,AU,AUD,56.95,14.23,75,"9 May, 2016"
steam,1326470,CA,CAD,38.99,12.86,67,"22 Feb, 2024"
steam,3314790,DE,EUR,9.99,8.99,10,"26 Sep, 2025"
steam,3230400,BR,BRL,299.0,209.3,30,"14 Aug, 2025"
steam,2246340,CN,CNY,348.0,243.6,30,"27 Feb, 2025"
steam,1285190,BR,BRL,379.9,379.9,0,"11 Sep, 2025"
steam,2807960,CN,CNY,268.0,268.0,0,"10 Oct, 2025"
steam,381210,FR,EUR,19.99,7.99,60,"14 Jun, 2016"
steam,2215430,GB,GBP,49.99,33.49,33,"16 May, 2024"
steam,1174180,US,USD,59.99,14.99,75,"Dec 5, 2019"
steam,3489700,AU,AUD,109.95,87.96,20,"11 Jun, 2025"
steam,3164500,CA,CAD,25.99,18.19,30,"24 Mar, 2025"
steam,1757300,AU,AUD,29.5,29.5,0,"19 Sep, 2025"
steam,1174180,AU,AUD,89.95,22.48,75,"5 Dec, 2019"
steam,3008130,FR,EUR,59.99,59.99,0,"18 Sep, 2025"
steam,2138330,US,USD,29.99,20.99,30,"Sep 25, 2023"
steam,252490,FR,EUR,39.99,19.99,50,"8 Feb, 2018"
steam,2215430,JP,JPY,7590.0,5085.0,33,"16 May, 2024"
steam,381210,AR,USD,14.99,5.99,60,"14 Jun, 2016"
steam,275850,CA,CAD,77.99,31.19,60,"12 Aug, 2016"
steam,311210,AR,USD,59.99,19.79,67,"5 Nov, 2015"
steam,990080,JP,JPY,8778.0,1755.0,80,"10 Feb, 2023"
steam,990080,US,USD,59.99,11.99,80,"Feb 10, 2023"
steam,3164500,GB,GBP,16.75,11.72,30,"24 Mar, 2025"
steam,1984270,FR,EUR,69.99,69.99,0,"2 Oct, 2025"
steam,1903340,PL,PLN,179.0,161.1,10,"24 Apr, 2025"
steam,374320,CN,CNY,268.0,134.0,50,"11 Apr, 2016"
steam,275850,US,USD,59.99,23.99,60,"Aug 12, 2016"
steam,3008130,US,USD,59.99,59.99,0,"Sep 18, 2025"
